Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Description Filename,Resolution,Comments Filename
CLOUD-3758,Flaky test: TestCommitNotifications.testWorkflowNoResolution ,https://jira.atlassian.com/browse/CLOUD-3758,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3758_description.txt,Obsolete,jira_description_comments/CLOUD-3758_comments.txt
CLOUD-3493,Flaky test: TestExternalUserFunctionality,https://jira.atlassian.com/browse/CLOUD-3493,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3493_description.txt,Obsolete,jira_description_comments/CLOUD-3493_comments.txt
CLOUD-5004,Flaky Tests - TestConfluencePlugins and TestJiraPluginsPage,https://jira.atlassian.com/browse/CLOUD-5004,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-5004_description.txt,Obsolete,jira_description_comments/CLOUD-5004_comments.txt
CLOUD-3738,Flaky Test: TestCrucibleGlobalAdmin.testUpgradeTo_v14,https://jira.atlassian.com/browse/CLOUD-3738,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3738_description.txt,Obsolete,jira_description_comments/CLOUD-3738_comments.txt
CLOUD-3834,Flaky test: TestFisheyeNavbar. testLinksHiddenWhenNotLoggedIn(),https://jira.atlassian.com/browse/CLOUD-3834,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3834_description.txt,Obsolete,jira_description_comments/CLOUD-3834_comments.txt
CLOUD-5444,Flaky tests in TestRepositoryManager.,https://jira.atlassian.com/browse/CLOUD-5444,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-5444_description.txt,Fixed,jira_description_comments/CLOUD-5444_comments.txt
CLOUD-2615,Flaky tests: TestStreams,https://jira.atlassian.com/browse/CLOUD-2615,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-2615_description.txt,Cannot Reproduce,jira_description_comments/CLOUD-2615_comments.txt
CLOUD-5455,Fix flaky com.atlassian.studio.functest.tests.group1.TestConfluencePeopleDirectoryPopulation.testUpgradeTask(),https://jira.atlassian.com/browse/CLOUD-5455,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-5455_description.txt,Obsolete,jira_description_comments/CLOUD-5455_comments.txt
JRACLOUD-30767,"JIRA ODAT Build is not running the ""Gapps failing and flaky tests"" test group",https://jira.atlassian.com/browse/JRACLOUD-30767,affects-cloud,18514,JRACLOUD,Jira Cloud,Closed,jira_description_comments/JRACLOUD-30767_description.txt,Won't Fix,jira_description_comments/JRACLOUD-30767_comments.txt
JRASERVER-30767,"JIRA ODAT Build is not running the ""Gapps failing and flaky tests"" test group",https://jira.atlassian.com/browse/JRASERVER-30767,affects-cloud,10240,JRASERVER,Jira Data Center,Closed,jira_description_comments/JRASERVER-30767_description.txt,Won't Fix,jira_description_comments/JRASERVER-30767_comments.txt
CLOUD-4033,Flaky test: TestStudioProjectCreation.testCreateProjectSuccessful() & testCreateProjectWithEmptyUrl() and TestStudioProjectUpdate.testUpdateProjectSuccessful(),https://jira.atlassian.com/browse/CLOUD-4033,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4033_description.txt,Obsolete,jira_description_comments/CLOUD-4033_comments.txt
CLOUD-4886,Flaky Tests - NoExternalUserAuthTest.testLoginWhenThereAreNoExternalUsersAndPublicSignupIsDisabled and NoExternalUserAuthTest/testLoginWhenThereAreNoExternalUsersButPublicSignupIsEnabled,https://jira.atlassian.com/browse/CLOUD-4886,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4886_description.txt,Obsolete,jira_description_comments/CLOUD-4886_comments.txt
CONFSERVER-48712,Fix flaky tests on TC' Bamboo builds,https://jira.atlassian.com/browse/CONFSERVER-48712,"affects-cloud, affects-server, tcr",10470,CONFSERVER,Confluence Data Center,Closed,jira_description_comments/CONFSERVER-48712_description.txt,Fixed,jira_description_comments/CONFSERVER-48712_comments.txt
CLOUD-4306,Flaky test: Make TestActivityStream less sensitive to Stream upgrade and locale,https://jira.atlassian.com/browse/CLOUD-4306,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4306_description.txt,Fixed,jira_description_comments/CLOUD-4306_comments.txt
CRUC-5571,The new review comments emails are backwards.  Oor not backwards enough,https://jira.atlassian.com/browse/CRUC-5571,,11771,CRUC,Crucible,Closed,jira_description_comments/CRUC-5571_description.txt,Not a bug,jira_description_comments/CRUC-5571_comments.txt
BAM-12337,Records flakey tests fixed by a re-run,https://jira.atlassian.com/browse/BAM-12337,"bamboo-bugs-grooming, beac, tests",11011,BAM,Bamboo Data Center,Closed,jira_description_comments/BAM-12337_description.txt,Timed out,jira_description_comments/BAM-12337_comments.txt
