Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Resolution,GitHub Project Link
OOZIE-3491,Confusing System ID error message,https://issues.apache.org/jira/browse/OOZIE-3491,newbie,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3482,Fix bug in CoordSubmitXCommand#validateCoordinatorJob,https://issues.apache.org/jira/browse/OOZIE-3482,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3552,OozieCLI: missing separator in coordinator job output,https://issues.apache.org/jira/browse/OOZIE-3552,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3608,Coordinator emits wrong WARN about TimeZones,https://issues.apache.org/jira/browse/OOZIE-3608,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
IGNITE-5483,SqlQuery fails with WHERE clause on LocalDateTime field,https://issues.apache.org/jira/browse/IGNITE-5483,,12315922,IGNITE,Ignite,Resolved,Fixed,https://github.com/apache/ignite
OOZIE-2136,Oozie server startup error when JDBC URL for a MySql DB with HA is used  ,https://issues.apache.org/jira/browse/OOZIE-2136,oozie,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
LUCENE-2878,Allow Scorer to expose positions and payloads aka. nuke spans ,https://issues.apache.org/jira/browse/LUCENE-2878,gsoc2014,12310110,LUCENE,Lucene - Core,Closed,Implemented,https://github.com/apache/lucene - core
OOZIE-3066,Possibility to set retry-max globally,https://issues.apache.org/jira/browse/OOZIE-3066,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
CASSANDRA-18160,Test Failure: cdc_test.TestCDC.test_insertion_and_commitlog_behavior_after_reaching_cdc_total_space,https://issues.apache.org/jira/browse/CASSANDRA-18160,,12310865,CASSANDRA,Cassandra,Open,,https://github.com/apache/cassandra
IGNITE-14742,Store array component type in binary object,https://issues.apache.org/jira/browse/IGNITE-14742,important,12315922,IGNITE,Ignite,Resolved,Fixed,https://github.com/apache/ignite
OOZIE-3606,Extend file system EL functions to use custom file system properties,https://issues.apache.org/jira/browse/OOZIE-3606,,12311620,OOZIE,Oozie,Resolved,Done,https://github.com/apache/oozie
OOZIE-3609,Zookeeper SSL/TLS support,https://issues.apache.org/jira/browse/OOZIE-3609,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
HIVE-15277,Teach Hive how to create/delete Druid segments ,https://issues.apache.org/jira/browse/HIVE-15277,TODOC2.2,12310843,HIVE,Hive,Closed,Fixed,https://github.com/apache/hive
